catalog_year,main_category_english,author,title,price_clean_display,price_in_grosia,price_in_paras
1904,,Ἐπαμ. Κ. Κυριακίδου,Η ΔΕΚΑΤΗ ΕΝΑΤΗ ΕΚΑΤΟΝΤΑΕΤΗΡΙΣ,160 γρ.,160.0,6400.0
1904,Bookstores,ΚΥΡΙΑΚΙΔΟΥ ΕΠ.,Ἡ δεκάτη ἐνάτη Ἑκατονταετηρίς,160 γρ.,160.0,6400.0
1904,Greek Authors,ΟΜΗΡΟΣ,Ὀδύσσεια. Τόμοι 6,156 γρ.,156.0,6240.0
1904,Various Subjects,FRANCK AD.,Dictionnaire des sciences philosophiques,150 γρ.,150.0,6000.0
1895,"IV. Texts, Scholia, Paraphrases, Interpretations of Greek and Latin Authors - A. Greek Authors",Πλούταρχος,"Βίοι Παράλληλοι, μετάφρασις Ἀ. Ρ. Ῥαγκαβῆ",150 γρ.,150.0,6000.0
1904,Educational and School Instruments,,"Εἰκόνες Ζωολογίας, ἐκδ. Hachette μετὰ γαλλικοῦ κειμένου, πίνακες 1-50",150 γρ.,150.0,6000.0
1904,"Legal, Political",ΝΙΚΟΛΑΪΔΗΣ ΔΗΜ. (ἐκδ.),"Κώδικες Ὀθωμανοί, ἤτοι συλλογὴ ἁπάντων τῶν νόμων τῆς Ὀθωμανικῆς Αὐτοκρατορίας, διαταγμάτων, κανονισμῶν καὶ ἐγκυκλίων, ἐκδιδόμενοι ὑπὸ Δημ. Νικολαΐδου (Τόμοι 4)",150 γρ.,150.0,6000.0
1904,Various Subjects,ΧΑΔΡΩΤ Ι.,Λεξικὸν Τουρκο-ελληνικόν (Τὸ αὐτὸ δεδεμένον),150 γρ.,150.0,6000.0
1904,"Historical, Mythological, etc.",JAEGER O.,"Παγκόσμιος Ἱστορία, μετάφρασις Ἀθ. Ἀργυροῦ",150 γρ.,150.0,6000.0
1904,Medical Books,LYON GASTON,"Πλήρης Θεραπευτικὴ ἐφαρμοσμένη, μεταφρασθεῖσα ἐκ τῆς ἐκδόσεως τοῦ 1899 ὑπὸ Ἰ. Ἐ. Καραβία, Ἰ. Παπαβασιλείου, Ἀ. Καλλιβωκᾶ καὶ Γ. Ἀβάζου",150 γρ.,150.0,6000.0
1904,Miscellaneous Subjects,ΧΛΩΡΟΥ Ι.,Τὸ αὐτὸ δεδεμένον,150 γρ.,150.0,6000.0
1904,"Agricultural, Industrial, Technical",ΔΑΜΒΕΡΓΗ καὶ ΚΟΜΝΗΝΟΥ,"Ὁδηγὸς πρὸς ἐξέτασιν ἐδωδίμων καὶ ποτῶν, ὑφασμάτων, χάρτου, δερμάτων, ἑψικῶν καὶ χρωστικῶν οὐσιῶν, καυσίμων, φωτιστικῶν, οἰκοδομησίμων ὑλῶν, σάπωνος, μηχανῶν, λιπασμάτων, μαγειρικῶν σκευῶν, κοσμητικῶν εἰδῶν, μεταλλευμάτων, μετάλλων, μεταλλοκραμάτων καὶ ἐκρηκτικῶν οὐσιῶν, ὡς καὶ εἰδῶν χρησίμων τῷ στρατῷ καὶ τῷ ναυτικῷ, μετὰ πολυαρίθμων πινάκων καὶ σχημάτων",150 γρ.,150.0,6000.0
1904,E' Miscellaneous School Equipment,,"Ὑδρόγειος Σφαῖρα, Ἀρ. 2 (0,80 μ. περιφέρειαν με βάσιν μεταλλίνην καὶ τόξον)",150 γρ.,150.0,6000.0
1896,Poems,ΚΑΣΔΑΓΛΗ Α.,"Ἀπολεσθεὶς Παράδεισος, ὑπὸ τοῦ ἄγγλου Μίλτωνος, μετ' εἰκόνων μεγάλων",140 γρ.,140.0,5600.0
1904,Greek Authors,ΟΜΗΡΟΣ,Ἰλιάς. Τόμοι 6,135 γρ.,135.0,5400.0
1904,Dictionaries,ΣΙΝΑ Μ. Γ. καὶ ΛΕΒΑΔΕΩΣ Ι. Ν.,Δεξικὸν Γαλλo-ελληνικόν,132 γρ.,132.0,5280.0
1904,Educational and School Instruments,ΑΠΟΣΤΟΛΙΔΟΥ Ν. Χ.,"Βασίλειον τῶν Ζῴων, 90 Πίνακες κεχρωματισμένοι κατὰ φύσιν, δεδεμένοι",130 γρ.,130.0,5200.0
