catalog_year,source_file,main_category,main_category_english,subcategory_or_series,author,author_transcribed,title,title_english,pages_format,price,currency,notes
1904,IMG_1443.jpeg,Ἰατρικά,Medical Books,,ΤΣΑΚΙΡΗ Σ. Δ.,Tsakiris S. D.,Ἡ σύγχρονος ἰατρικὴ ἐπιστήμη καὶ ἡ πρόληψις τῶν νόσων (μετ' εἰσαγωγῆς περὶ τῆς ἐξελίξεως τῆς ἀληθείας ἐν τῇ ἰατρικῇ ἐπιστήμῃ),Modern Medical Science and the Prevention of Diseases (with an introduction on the evolution of truth in medical science),"μέγα 8ον, σελίδες 207",10,drachmas,
1904,IMG_1443.jpeg,Ἰατρικά,Medical Books,,ΤΣΑΚΥΡΟΓΛΟΥ Μ.,Tsakyroglou M.,"Περὶ τῆς ῥιζικῆς ἐγχειρήσεως, ἤτοι περὶ τῆς νέας μεθόδου τῆς διανοίξεως τῶν μεσαίων ὠτικῶν κοιλοτήτων","On Radical Surgery, or on the new method of opening the middle ear cavities","8ον, σελ. 96",6,drachmas,
1904,IMG_1443.jpeg,Ἰατρικά,Medical Books,,ΤΣΟΧΩΝΗ Δ. Β.,Tsochonis D. V.,Πρακτικὸν ἐγχειρίδιον θεραπευτικῆς,Practical Handbook of Therapeutics,"12ον, σ. ζ΄-512",33,drachmas,
1904,IMG_1443.jpeg,Ἰατρικά,Medical Books,,ΤΥΠΑΛΔΟΥ Ι. Ε.,Typaldos I. E.,"Ἐπιτομὴ θεραπευτικῆς τῶν ἐσωτερικῶν νοσημάτων (Μέρος Α': Νόσοι τῶν ἀναπνευστικῶν ὀργάνων, Μέρος Β': Νόσοι τῆς καταλλαγῆς τῆς ὕλης, Μέρος Γ': Νόσοι τῶν πεπτικῶν ὀργάνων, Μέρος Δ': Θεραπεία τῶν νόσων τοῦ νευρικοῦ συστήματος)","Epitome of Therapeutics of Internal Diseases (Part A: Diseases of respiratory organs, Part B: Metabolic diseases, Part C: Digestive organ diseases, Part D: Treatment of nervous system diseases)","Τόμοι 4, μέγα 8ον, σελίδες η΄-1358",35,drachmas,Price per volume: Έκαστος τόμος 35
1904,IMG_1443.jpeg,Ἰατρικά,Medical Books,,VAUCAIRE R.,Vaucaire R.,"Ἐγχειρίδιον θεραπευτικῆς τῶν νοσημάτων τῶν γυναικῶν καὶ μαιευτικῆς ἀντισηψίας, μεταφρασθὲν ὑπὸ Ἀν. Τσέλιου","Handbook of Therapeutics of Diseases of Women and Obstetric Antisepsis, translated by An. Tselios",σελ. 297,14,drachmas,
1904,IMG_1443.jpeg,Ἰατρικά,Medical Books,,VERESSAIFF Dr,Veressaiff Dr,"Δάθη καὶ ἀπροσεξίαι τῶν ἰατρῶν, μετάφρασις Σ. Ζωγραφίδου","Errors and Carelessness of Doctors, translation by S. Zografidou","8ον, σελ. 161",10,drachmas,Title contains misspelling Δάθη (for Λάθη)
1904,IMG_1443.jpeg,Ἰατρικά,Medical Books,,VIAULT & JOLYER,Viault & Jolyer,"Φυσιολογία τοῦ ἀνθρώπου, μετὰ πολλῶν εἰκόνων, μετάφρασις Ἀ. Γεωργιάδου","Human Physiology, with many images, translation by A. Georgiadis","8ον, σελίδες 970",90,drachmas,
1904,IMG_1443.jpeg,Ἰατρικά,Medical Books,,VILLEROY Dr,Villeroy Dr,"Πίνακες συνοπτικοὶ τῆς Εἰδικῆς Νοσολογίας, μετάφρασις Χ. Μοσχονησίου","Summary Tables of Special Pathology, translation by Ch. Moschonisios","4ον, σελ. δ΄-212",25,drachmas,
1904,IMG_1443.jpeg,Ἰατρικά,Medical Books,,VILLEROY Dr,Villeroy Dr,"Πίνακες συνοπτικοὶ τῆς χειρουργικῆς Παθολογίας, μετάφρασις Ὀρέστου Κυριακοῦ","Summary Tables of Surgical Pathology, translation by Orestis Kyriakos","4ον, σελ. 178",25,drachmas,
1904,IMG_1443.jpeg,Ἰατρικά,Medical Books,,WINKELMANN KARL,Winkelmann Karl,"Αἱ πρῶται βοήθειαι ἐπὶ βαρέων τραυμάτων, κατὰ μετάφρασιν Γ. Κ. Σταυρίδου","First Aid for Severe Injuries, translated by G. K. Stavridis","8ον, σελίδες 130",6,drachmas,
1904,IMG_1443.jpeg,Ἰατρικά,Medical Books,,ΦΕΡΡΑΝ Ε.,Ferran E.,"Πρῶται βοήθειαι εἰς δηλητηριασθέντας, πνιγέντας καὶ ἀσφυκτικούς, μετάφρασις Β. Ἰ. Τιφτικτζόγλου καὶ Ἰ. Ν. Μηνιάτου","First Aid for Poisoned, Drowned, and Asphyxiated Persons, translation by V. I. Tiftiktzoglou and I. N. Miniatos",σ. η΄-190,10,drachmas,
1904,IMG_1443.jpeg,Ἰατρικά,Medical Books,,ΦΙΛΑΡΕΤΟΠΟΥΛΟΥ Γ. Λ.,Filaretopoulos G. L.,Τὸ Βιβλίον τῆς Καλλονῆς,The Book of Beauty,"32ον, σ. 185",15,drachmas,πανόδετον (clothbound)
1904,IMG_1443.jpeg,Ἰατρικά,Medical Books,,ΦΙΛΑΡΕΤΟΠΟΥΛΟΥ Γ. Λ.,Filaretopoulos G. L.,Ἡ προφύλαξις τῶν ἀφροδισίων παθῶν,The Prevention of Venereal Diseases,"8ον, σελ. 79",12,drachmas,
1904,IMG_1443.jpeg,Ἰατρικά,Medical Books,,ΦΙΛΙΠΠΑΚΟΠΟΥΛΟΥ Η.,Filippakopoulos I.,Ἡ πρώτη βοήθεια πρὸς τοὺς ἐξ ἀπροόπτου τινὸς συμ-,First Aid for Sudden Emergency...,,,,Incomplete entry at the bottom of the page
1904,IMG_1444.jpeg,ΝΟΜΙΚΑ ΚΑΙ ΠΟΛΙΤΙΚΑ,Legal and Political,,ΑΝΤΩΝΙΑΔΟΥ Σ.,Antoniadou S.,"Τὰ Δημοτικά, ἤτοι βιβλίον περιέχον τὸν δημοτικὸν νόμον ἐξηγημένον, μετάφρασιν τῆς θεωρίας τοῦ δημοτικοῦ δικαίου","Municipal affairs, or a book containing the municipal law explained, translation of the theory of municipal law","8ον, σελίδες ι΄—384—127 +",15.—,Δρ.,
1904,IMG_1444.jpeg,ΝΟΜΙΚΑ ΚΑΙ ΠΟΛΙΤΙΚΑ,Legal and Political,,ΑΡΑΒΑΝΤΙΝΟΥ Ι.,Aravantinos I.,Πραγματεία περὶ εὐθύνης τῶν ἡγεμόνων καὶ τῶν ὑπουργῶν,Treatise on the liability of rulers and ministers,"8ον, σελίδες 376+",12.—,Δρ.,
1904,IMG_1444.jpeg,ΝΟΜΙΚΑ ΚΑΙ ΠΟΛΙΤΙΚΑ,Legal and Political,,ΑΡΓΥΡΟΥ ΑΘ.,Argyros Ath.,"Γενικαὶ ἀρχαὶ τῆς Πολιτικῆς Οἰκονομίας, περιληπτικῶς γραφεῖσαι κατὰ τὸ σύγγραμμα τοῦ Ν. Καζάζη","General principles of Political Economy, written summarily according to the work of N. Kazazis","8ον, σελ. 103+",9.—,Δρ.,
1904,IMG_1444.jpeg,ΝΟΜΙΚΑ ΚΑΙ ΠΟΛΙΤΙΚΑ,Legal and Political,,ΑΡΓΥΡΟΥ ΑΘ.,Argyros Ath.,"Γενικαὶ Ἀρχαὶ τοῦ Ἀστικοῦ Δικαίου, γραφεῖσαι περιληπτικῶς ἐπὶ τῇ βάσει τοῦ συγγράμματος τοῦ Ἀ. Χ. Κρασσᾶ","General Principles of Civil Law, written summarily on the basis of the work of A. Ch. Krassas","8ον, σελίδες 135 +",12.—,Δρ.,
1904,IMG_1444.jpeg,ΝΟΜΙΚΑ ΚΑΙ ΠΟΛΙΤΙΚΑ,Legal and Political,,ΑΡΓΥΡΟΥ ΑΘ.,Argyros Ath.,"Διοικητικὸν Δίκαιον, γραφὲν περιληπτικῶς κατὰ τὸ σύγγραμμα τοῦ Γ. Ἀγγελοπούλου","Administrative Law, written summarily according to the work of G. Angelopoulos","8ον, σελ. 166 +",20.—,Δρ.,
1904,IMG_1444.jpeg,ΝΟΜΙΚΑ ΚΑΙ ΠΟΛΙΤΙΚΑ,Legal and Political,,ΑΡΓΥΡΟΥ ΑΘ.,Argyros Ath.,"Ἐμπορικὸν Δίκαιον, γραφὲν περιληπτικῶς ἐπὶ τῇ βάσει τοῦ συγγράμματος Γ. Ῥάλλη","Commercial Law, written summarily on the basis of the work of G. Rallis","8ον, σελίδες 384 +",30.—,Δρ.,
1904,IMG_1444.jpeg,ΝΟΜΙΚΑ ΚΑΙ ΠΟΛΙΤΙΚΑ,Legal and Political,,ΑΡΓΥΡΟΥ ΑΘ.,Argyros Ath.,"Ἐμπράγματον Δίκαιον, κατὰ τὰς παραδόσεις τοῦ Δ. Θεοφανοπούλου, καὶ ἐξ ἄλλων πηγῶν","Property Law, according to the lectures of D. Theofanopoulos, and from other sources","8ον, σ. 127 +",11.—,Δρ.,
1904,IMG_1444.jpeg,ΝΟΜΙΚΑ ΚΑΙ ΠΟΛΙΤΙΚΑ,Legal and Political,,ΑΡΓΥΡΟΥ ΑΘ.,Argyros Ath.,"Ἐνοχικὸν Δίκαιον, γραφὲν κατὰ τὰς παραδόσεις τοῦ Δ. Θεοφανοπούλου καὶ ἐξ ἄλλων πηγῶν","Law of Obligations, written according to the lectures of D. Theofanopoulos and from other sources","8ον, σ. 160 +",12.—,Δρ.,
1904,IMG_1444.jpeg,ΝΟΜΙΚΑ ΚΑΙ ΠΟΛΙΤΙΚΑ,Legal and Political,,ΑΡΓΥΡΟΥ ΑΘ.,Argyros Ath.,Ἐπιτομὴ Πολιτικῆς Δικονομίας,Epitome of Civil Procedure,"8ον, σελίδες 360 +",20.—,Δρ.,
1904,IMG_1444.jpeg,ΝΟΜΙΚΑ ΚΑΙ ΠΟΛΙΤΙΚΑ,Legal and Political,,ΑΡΓΥΡΟΥ ΑΘ.,Argyros Ath.,"Κληρονομικὸν Δίκαιον, γραφὲν περιληπτικῶς ἐπὶ τῇ βάσει τοῦ συγγράμματος τοῦ Ἀ. Χ. Κρασσᾶ","Inheritance Law, written summarily on the basis of the work of A. Ch. Krassas","8ον, σ. 136+",12.—,Δρ.,
1904,IMG_1444.jpeg,ΝΟΜΙΚΑ ΚΑΙ ΠΟΛΙΤΙΚΑ,Legal and Political,,ΑΡΓΥΡΟΥ ΑΘ.,Argyros Ath.,"Οἰκογενειακὸν Δίκαιον, γραφὲν περιληπτικῶς ἐπὶ τῇ βάσει τοῦ συγγράμματος τοῦ Ἀ. Χ. Κρασσᾶ","Family Law, written summarily on the basis of the work of A. Ch. Krassas","8ον, σ. 160+",12.—,Δρ.,
1904,IMG_1444.jpeg,ΝΟΜΙΚΑ ΚΑΙ ΠΟΛΙΤΙΚΑ,Legal and Political,,ΒΛΑΒΗ ΣΤ. Α.,Vlavis St. A.,Περὶ τοῦ καταλογισμοῦ τῆς πράξεως τῆς ἐλευθέρας ἐν τῇ αἰτίᾳ,On the imputation of the action free in its cause,"8ον, σελίδες 96+",15.—,Δρ.,
1904,IMG_1444.jpeg,ΝΟΜΙΚΑ ΚΑΙ ΠΟΛΙΤΙΚΑ,Legal and Political,,ΒΕΛΟΝΑΚΗ Μ. Ν.,Velonakis M. N.,"Συλλογὴ ἁπάντων τῶν ἑλληνικῶν νόμων, διαταγμάτων, διατάξεων, κανονισμῶν κτλ.","Collection of all Greek laws, decrees, provisions, regulations, etc.","8ον, σελίδες ε΄—322 +",20.—,Δρ.,
1904,IMG_1444.jpeg,ΝΟΜΙΚΑ ΚΑΙ ΠΟΛΙΤΙΚΑ,Legal and Political,,ΓΑΪΤΑ Π.,Gaitas P.,Στοιχεῖα τοῦ πολιτικοῦ δικαίου,Elements of Civil Law,"8ον, σελ. ϛ΄—339...",10.—,Δρ.,
1904,IMG_1444.jpeg,ΝΟΜΙΚΑ ΚΑΙ ΠΟΛΙΤΙΚΑ,Legal and Political,,ΓΕΔΕΩΝ Μ.,Gedeon M.,"Κανονικαὶ διατάξεις. Ἐπιστολαί, Λύσεις, Θεσπίσματα τῶν Πατριαρχῶν Κωνσταντινουπόλεως ἀπὸ Γρηγορίου τοῦ Θεολόγου μέχρι Διονυσίου τοῦ ἀπὸ Ἀδριανουπόλεως","Canonical decrees. Letters, Decisions, Ordinances of the Patriarchs of Constantinople from Gregory the Theologian to Dionysius of Adrianople","Τόμοι 2, μέγα 8ον, σελίδες β΄—893 ++",50.—,Δρ.,
1904,IMG_1444.jpeg,ΝΟΜΙΚΑ ΚΑΙ ΠΟΛΙΤΙΚΑ,Legal and Political,,ΓΕΔΕΩΝ Μ.,Gedeon M.,Γενικοὶ Κανονισμοὶ τῶν Πατριαρχείων,General Regulations of the Patriarchates,σελίδες 70,5.—,Δρ.,
1904,IMG_1444.jpeg,ΝΟΜΙΚΑ ΚΑΙ ΠΟΛΙΤΙΚΑ,Legal and Political,,ΓΛΑΡΑΚΗ Α.,Glarakis A.,Πολιτικὴ ἀποκέντρωσις,Political Decentralization,"8ον, σελ. ιδ΄—297...",10.—,Δρ.,
1904,IMG_1444.jpeg,ΝΟΜΙΚΑ ΚΑΙ ΠΟΛΙΤΙΚΑ,Legal and Political,,ΔΕΛΗΓΕΩΡΓΗ ΕΠ.,Deligeorgis Ep.,Λόγοι Πολιτικοὶ 1863—1871. Μέρος Α΄,Political Speeches 1863-1871. Part A,"4ον, σελ. 450",15.—,Δρ.,
1904,IMG_1444.jpeg,ΝΟΜΙΚΑ ΚΑΙ ΠΟΛΙΤΙΚΑ,Legal and Political,,ΔΙΠΛΑΡΟΠΟΥΛΟΥ Ι.,Diplaropoulos I.,Πραγματεία περὶ συμβολαίων καὶ συμβολαιογραφικῶν πράξεων,Treatise on contracts and notarial acts,"8ον, σελ. 127 +",15.—,Δρ.,
1904,IMG_1444.jpeg,ΝΟΜΙΚΑ ΚΑΙ ΠΟΛΙΤΙΚΑ,Legal and Political,Ἑλληνικοὶ Κώδικες,ΔΥΟΒΟΥΝΙΩΤΟΥ Γ.,Dyovouniotis G.,Ἑλληνικοὶ Κώδικες: Ἀστικοὶ Νόμοι,Greek Codes: Civil Laws,"12ον, σελ. 1302",72.—,Δρ.,
1904,IMG_1444.jpeg,ΝΟΜΙΚΑ ΚΑΙ ΠΟΛΙΤΙΚΑ,Legal and Political,Ἑλληνικοὶ Κώδικες,ΔΥΟΒΟΥΝΙΩΤΟΥ Γ.,Dyovouniotis G.,Ἑλληνικοὶ Κώδικες: Δημοτικὴ Νομοθεσία,Greek Codes: Municipal Legislation,"12ον, σελ. 172",15.—,Δρ.,
1904,IMG_1444.jpeg,ΝΟΜΙΚΑ ΚΑΙ ΠΟΛΙΤΙΚΑ,Legal and Political,Ἑλληνικοὶ Κώδικες,ΔΥΟΒΟΥΝΙΩΤΟΥ Γ.,Dyovouniotis G.,"Ἑλληνικοὶ Κώδικες: Διεθνὴς ἔλεγχος, Δημόσιον χρέος, Μονοπώλιον","Greek Codes: International control, Public debt, Monopoly","12ον, σελ. 372",20.—,Δρ.,
1904,IMG_1444.jpeg,ΝΟΜΙΚΑ ΚΑΙ ΠΟΛΙΤΙΚΑ,Legal and Political,Ἑλληνικοὶ Κώδικες,ΔΥΟΒΟΥΝΙΩΤΟΥ Γ.,Dyovouniotis G.,Ἑλληνικοὶ Κώδικες: Δικαστικὸς Ὀργανισμός,Greek Codes: Judicial Organization,"12ον, σ. 381",20.—,Δρ.,
1904,IMG_1444.jpeg,ΝΟΜΙΚΑ ΚΑΙ ΠΟΛΙΤΙΚΑ,Legal and Political,Ἑλληνικοὶ Κώδικες,ΔΥΟΒΟΥΝΙΩΤΟΥ Γ.,Dyovouniotis G.,Ἑλληνικοὶ Κώδικες: Διοικητικὴ Ἐκτέλεσις,Greek Codes: Administrative Enforcement,"12ον, σελ. 367",20.—,Δρ.,
1904,IMG_1444.jpeg,ΝΟΜΙΚΑ ΚΑΙ ΠΟΛΙΤΙΚΑ,Legal and Political,Ἑλληνικοὶ Κώδικες,ΔΥΟΒΟΥΝΙΩΤΟΥ Γ.,Dyovouniotis G.,Ἑλληνικοὶ Κώδικες: Διπλωματικὴ καὶ Προξενικὴ Νομοθεσία,Greek Codes: Diplomatic and Consular Legislation,"12ον, σελ. 747",38.—,Δρ.,
1904,IMG_1445.jpeg,"Νομικά, Πολιτικά","Legal, Political",Ἑλληνικοὶ Κώδικες,ΔΥΟΒΟΥΝΙΩΤΟΥ Γ.,Dyovouniotis G.,"Ἐλεγκτικὸν Συνέδριον, Δημόσιον Λογιστικόν, Συντάξεις","Court of Audit, Public Accounting, Pensions",σελ. 532,32,Δρ.,
1904,IMG_1445.jpeg,"Νομικά, Πολιτικά","Legal, Political",Ἑλληνικοὶ Κώδικες,ΔΥΟΒΟΥΝΙΩΤΟΥ Γ.,Dyovouniotis G.,Ἑλληνικὰ Συντάγματα,Greek Constitutions,σελ. 328,20,Δρ.,
1904,IMG_1445.jpeg,"Νομικά, Πολιτικά","Legal, Political",Ἑλληνικοὶ Κώδικες,ΔΥΟΒΟΥΝΙΩΤΟΥ Γ.,Dyovouniotis G.,Ἑλληνικὴ Ἐκκλησία,Greek Church,σελ. 203,15,Δρ.,
1904,IMG_1445.jpeg,"Νομικά, Πολιτικά","Legal, Political",Ἑλληνικοὶ Κώδικες,ΔΥΟΒΟΥΝΙΩΤΟΥ Γ.,Dyovouniotis G.,Ἐμπορικὴ Νομοθεσία,Commercial Legislation,σ. 1152,65,Δρ.,
1904,IMG_1445.jpeg,"Νομικά, Πολιτικά","Legal, Political",Ἑλληνικοὶ Κώδικες,ΔΥΟΒΟΥΝΙΩΤΟΥ Γ.,Dyovouniotis G.,Ἰόνιος Πολιτικὸς Κῶδιξ,Ionian Civil Code,σ. 788,43,Δρ.,
1904,IMG_1445.jpeg,"Νομικά, Πολιτικά","Legal, Political",Ἑλληνικοὶ Κώδικες,ΔΥΟΒΟΥΝΙΩΤΟΥ Γ.,Dyovouniotis G.,"Ὁδοποιΐα, Οἰκοδόμησις πόλεων, Δημόσια ἔργα","Road Construction, Urban Building, Public Works",σελ. 380,23,Δρ.,
1904,IMG_1445.jpeg,"Νομικά, Πολιτικά","Legal, Political",Ἑλληνικοὶ Κώδικες,ΔΥΟΒΟΥΝΙΩΤΟΥ Γ.,Dyovouniotis G.,Ποινικὴ Δικονομία,Criminal Procedure,σελ. 909,50,Δρ.,
1904,IMG_1445.jpeg,"Νομικά, Πολιτικά","Legal, Political",Ἑλληνικοὶ Κώδικες,ΔΥΟΒΟΥΝΙΩΤΟΥ Γ.,Dyovouniotis G.,Ποινικὸς Νόμος,Penal Code,σελ. 1009,54,Δρ.,
1904,IMG_1445.jpeg,"Νομικά, Πολιτικά","Legal, Political",Ἑλληνικοὶ Κώδικες,ΔΥΟΒΟΥΝΙΩΤΟΥ Γ.,Dyovouniotis G.,Πολιτικὴ Δικονομία,Civil Procedure,σελ. 1661,90,Δρ.,
1904,IMG_1445.jpeg,"Νομικά, Πολιτικά","Legal, Political",Ἑλληνικοὶ Κώδικες,ΔΥΟΒΟΥΝΙΩΤΟΥ Γ.,Dyovouniotis G.,Στρατιωτικὴ καὶ Ναυτικὴ Ποινικὴ Νομοθεσία,Military and Naval Criminal Legislation,σελ. 388,20,Δρ.,
1904,IMG_1445.jpeg,"Νομικά, Πολιτικά","Legal, Political",Ἑλληνικοὶ Κώδικες,ΔΥΟΒΟΥΝΙΩΤΟΥ Γ.,Dyovouniotis G.,Τελωνειακὴ Νομοθεσία,Customs Legislation,σ. 294,16,Δρ.,
