main_category_english,clean_subcategory,count
Theater,Δράματα Και Τραγῳδίαι,29
Theater,Γ΄ Θεατρικὴ Βιβλιοθήκη (Συλλογὴ Ἐκλεκτοτάτων Δραματικῶν Ἔργων),22
Theater,Μένανδρος Ἢ Συλλογὴ Κωμῳδιῶν,4
Theater,Θεατρικὴ Βιβλιοθήκη Β΄ Ἔκδοσις Ἀθηνῶν (Γ Δ Φέξη),1
Theological and Religious,General / Uncategorized,11
Turkish,General / Uncategorized,45
Turkish,Γηδάϊ 'Ρούχ,3
Turkish,Μέθοδος Πρός Έκμάθησιν Τής Όθωμανικής Γλώσσης,2
Turkish,Σειρά Τουρκικών Aναγνωσμάτων,2
Turkish Books,General / Uncategorized,22
V. Archaeology,General / Uncategorized,4
V. Classical Greek and Latin Writers (Texts),General / Uncategorized,1
V. Italian,General / Uncategorized,25
V. LANGUAGES,Β΄ Γαλλικη,34
V. LANGUAGES,Α΄ Αγγλικη,11
V. Languages,Β΄ Γαλλικη,20
"VI. Classical Greek and Latin Authors (Commentaries, Interpretations, Paraphrases and Translations)",General / Uncategorized,1
VI. Latin,General / Uncategorized,35
VII. Foreign Languages,General / Uncategorized,1
VIII. Dictionaries,General / Uncategorized,1
Various Subjects,Λεξικὰ Διαφόρου Ὕλης,25
Venice Editions,General / Uncategorized,10
X. Ecclesiastical,General / Uncategorized,1
XI. Music,General / Uncategorized,1
XII. Theological and Religious,General / Uncategorized,1
XIII. Philosophical,General / Uncategorized,1
XIV. Philological,General / Uncategorized,1
XIX. Legal and Political,General / Uncategorized,1
"XV. Historical, Mythological, Archaeological",General / Uncategorized,1
"XVI. Mathematical, Natural Sciences",General / Uncategorized,1
"XVII. Geographical, Astronomical",General / Uncategorized,1
XVIII. Medical,General / Uncategorized,1
XX. Commercial,General / Uncategorized,1
XXI. Nautical / Maritime,General / Uncategorized,1
"XXII. Agricultural, Industrial, Technical",General / Uncategorized,1
XXIII. Poetry,General / Uncategorized,1
XXIV. Theatre,General / Uncategorized,1
XXIX. Popular Books,General / Uncategorized,1
XXV. Theatrical Library,General / Uncategorized,1
XXVII. Novels and Short Stories,General / Uncategorized,1
XXVIII. Miscellaneous,General / Uncategorized,1
XXX. Maraslis Library,General / Uncategorized,1
XXXI. Edition of the Society for the Dissemination of Useful Books,General / Uncategorized,1
XXXII. Periodicals and Calendars / Almanacs,General / Uncategorized,1
XXXIII. Turkish-language books in Greek characters (Karamanlidika),General / Uncategorized,1
"XXXIV. Albums, Photographs",General / Uncategorized,1
XXXV. Printed Forms / Documents,General / Uncategorized,1
Z' Geography,General / Uncategorized,3
Z. Foreign Languages,Α΄ Αγγλικη,48
Z. Foreign Languages,Β΄ Γαλλικη,9
